"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-390-U1557-AB-20220529-Shipboard2 (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"390C","U1557","B","1","H","1","","5.0","0.050","0.050","39.94","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","7.5","0.075","0.075","42.26","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","10.0","0.100","0.100","42.42","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","12.5","0.125","0.125","41.88","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","15.0","0.150","0.150","42.05","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","17.5","0.175","0.175","43.00","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","20.0","0.200","0.200","44.39","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","22.5","0.225","0.225","45.11","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","25.0","0.250","0.250","44.94","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","27.5","0.275","0.275","44.35","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","30.0","0.300","0.300","44.91","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","32.5","0.325","0.325","45.75","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","35.0","0.350","0.350","46.87","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","37.5","0.375","0.375","45.44","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","40.0","0.400","0.400","41.40","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","42.5","0.425","0.425","39.80","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
"390C","U1557","B","1","H","1","","45.0","0.450","0.450","43.08","2020-11-02 03:38:35","MS3-V0.0.0.0-0656","WRMSL","SECT10854411","118808621","","",""
