"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-393-U1583-ABCDE-20220803-shipboard (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"393","U1583","E","1","H","1","","10.0","0.100","0.100","11.57","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","20.0","0.200","0.200","14.38","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","30.0","0.300","0.300","13.82","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","40.0","0.400","0.400","20.34","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","50.0","0.500","0.500","15.31","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","60.0","0.600","0.600","14.97","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","70.0","0.700","0.700","19.51","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","80.0","0.800","0.800","23.03","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","90.0","0.900","0.900","23.37","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","100.0","1.000","1.000","20.42","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","110.0","1.100","1.100","27.59","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","120.0","1.200","1.200","19.27","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","130.0","1.300","1.300","32.95","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","140.0","1.400","1.400","24.40","2022-07-08 00:30:15","0) BARTINGTON MODEL: MS2C S/N: 771, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0657","STMSL","SECT11653141","125849691","","",""
"393","U1583","E","1","H","1","","5.0","0.050","0.050","12.22","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","7.5","0.075","0.075","12.98","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","10.0","0.100","0.100","13.80","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","12.5","0.125","0.125","15.87","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","15.0","0.150","0.150","18.62","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","17.5","0.175","0.175","20.89","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","20.0","0.200","0.200","20.62","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","22.5","0.225","0.225","19.50","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","25.0","0.250","0.250","18.79","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","27.5","0.275","0.275","18.38","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","30.0","0.300","0.300","18.41","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","32.5","0.325","0.325","19.09","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","35.0","0.350","0.350","21.45","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","37.5","0.375","0.375","24.69","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","40.0","0.400","0.400","26.51","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","42.5","0.425","0.425","28.00","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","45.0","0.450","0.450","26.73","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","47.5","0.475","0.475","23.32","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","50.0","0.500","0.500","21.38","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","52.5","0.525","0.525","20.65","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","55.0","0.550","0.550","19.96","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","57.5","0.575","0.575","19.65","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
"393","U1583","E","1","H","1","","60.0","0.600","0.600","19.91","2022-07-08 04:15:45","0) BARTINGTON MODEL: MS2C S/N: 695, 1) BARTINGTON MODEL: MS3 V0.0.0.0 S/N: 0656","WRMSL","SECT11653141","125868511","","",""
