Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1557-AB-20220529-Shipboard2 (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1557,B,1,H,1,A,100.0,0.1,0.1,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,138801,0,3793,50220,215,2185,58745,-1720,34857,33760,15282,762,20754,182123,40203,XRF2,1,2021-11-17,14:54:52,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1000.0,1.0,1.0,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,146522,49,6233,71182,290,1927,49952,-2554,42813,22941,18171,393,23298,205697,39999,XRF2,1,2021-11-17,15:01:00,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1050.0,1.05,1.05,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,159291,44,7768,81567,410,2162,54051,-3757,47256,23139,19640,697,26065,228005,41032,XRF2,1,2021-11-17,15:01:18,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1100.0,1.1,1.1,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,150333,9,6522,73782,313,1684,51015,-2260,42668,31192,17913,476,22146,208761,39256,XRF2,1,2021-11-17,15:01:37,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1150.0,1.15,1.15,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,149921,29,7175,76505,320,1719,48104,-2325,44097,21776,18310,449,25995,212856,39006,XRF2,1,2021-11-17,15:01:55,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1200.0,1.2,1.2,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,147815,73,6303,68583,377,1884,52429,-2750,42159,20808,18143,268,25624,210708,39308,XRF2,1,2021-11-17,15:02:13,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1250.0,1.25,1.25,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,156253,47,6863,76263,378,2090,54280,-3577,45150,23187,19033,673,26496,223864,40995,XRF2,1,2021-11-17,15:02:32,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1300.0,1.3,1.3,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,151578,27,6936,77824,259,1972,49451,-3031,45351,21605,18549,462,25679,218219,39350,XRF2,1,2021-11-17,15:02:50,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1350.0,1.35,1.35,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,153475,65,5993,68563,328,2105,57896,-3477,43276,21740,18418,281,25998,216897,41615,XRF2,1,2021-11-17,15:03:08,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1400.0,1.4,1.4,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,140381,37,6131,68065,174,1801,47000,-2329,40279,27281,17159,702,23523,195339,37557,XRF2,1,2021-11-17,15:03:27,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1450.0,1.45,1.45,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,147535,66,6359,72588,442,1740,47161,-2097,42455,34124,18121,624,25613,205232,37958,XRF2,1,2021-11-17,15:03:45,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1475.0,1.475,1.475,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,159865,79,6579,76556,284,1927,52880,-3413,45661,47896,18578,673,26495,217073,40885,XRF2,1,2021-11-17,15:04:03,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,150.0,0.15,0.15,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,155197,5,5512,66015,288,2344,62254,-3943,43919,27168,18658,423,24966,215133,41843,XRF2,1,2021-11-17,14:55:10,HERTZBERG,2021-11-18 14:42:51,
