Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CSF-A (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
395E,U1561,A,1,H,3,A,200.0,3.21,3.21,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,136394,16,4475,59525,280,2043,45913,-912,48087,12300,15835,236,7813,178644,41544,XRF2,1,2022-08-23,11:07:30,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,250.0,3.26,3.26,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,170364,49,5623,70546,305,2889,67805,-3386,63234,16321,20809,610,15055,228701,49888,XRF2,1,2022-08-23,11:07:48,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,300.0,3.3099999999999996,3.3099999999999996,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,169379,65,6565,76886,366,2706,62526,-2791,66259,15968,20834,737,14136,225011,49933,XRF2,1,2022-08-23,11:08:10,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,350.0,3.36,3.36,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,169237,43,6077,71952,367,2753,65792,-3002,66789,16764,20956,527,16623,224577,50092,XRF2,1,2022-08-23,11:08:32,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,400.0,3.4099999999999997,3.4099999999999997,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,162798,70,4793,61797,216,2741,68782,-3160,60416,16011,19380,323,14137,213931,51182,XRF2,1,2022-08-23,11:08:52,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,450.0,3.46,3.46,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,156933,89,5751,69706,471,2359,52967,-2030,63400,16304,19960,524,15188,208118,46410,XRF2,1,2022-08-23,11:09:12,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,500.0,3.51,3.51,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,159772,4,4268,58104,333,2845,68422,-2197,59117,15448,19303,307,15279,210655,49859,XRF2,1,2022-08-23,11:09:30,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,550.0,3.5599999999999996,3.5599999999999996,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,160452,80,5868,71938,435,2259,53595,-2162,64754,16275,20426,606,14327,216680,46303,XRF2,1,2022-08-23,11:09:52,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,600.0,3.61,3.61,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,167624,108,4996,65919,376,2822,68450,-3299,65680,17103,21305,577,15354,220312,50655,XRF2,1,2022-08-23,11:10:14,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,650.0,3.6599999999999997,3.6599999999999997,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,166209,101,5350,67168,456,2895,69028,-3625,61853,17049,20016,499,14473,214286,51253,XRF2,1,2022-08-23,11:10:34,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,700.0,3.71,3.71,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,162799,40,5210,66904,368,2621,65878,-2921,60802,16543,19074,482,14951,208847,50070,XRF2,1,2022-08-23,11:10:55,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,750.0,3.76,3.76,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,154765,42,5724,71293,345,2055,52709,-2840,58123,15331,18313,642,13158,199202,45292,XRF2,1,2022-08-23,11:11:15,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,800.0,3.8099999999999996,3.8099999999999996,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,150280,70,6222,73383,357,2093,50984,-1374,57817,14648,17826,299,9497,188120,45393,XRF2,1,2022-08-23,11:11:33,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,850.0,3.86,3.86,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,140361,56,4686,59795,280,1965,48730,-1554,50494,13186,16129,472,9763,178819,43794,XRF2,1,2022-08-23,11:11:51,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,900.0,3.9099999999999997,3.9099999999999997,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,143631,47,4906,62523,239,1960,47346,-1355,52473,12962,17365,255,13192,186568,43901,XRF2,1,2022-08-23,11:12:11,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,950.0,3.96,3.96,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,137263,46,4903,63804,331,1780,40137,1389,50832,13446,16924,336,10425,176511,43688,XRF2,1,2022-08-23,11:12:29,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,1000.0,4.01,4.01,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,153758,54,5446,68413,243,2116,53634,-1448,60434,15258,18888,478,11073,202527,46313,XRF2,1,2022-08-23,11:12:47,YEON,2022-09-02 18:11:38,
395E,U1561,A,1,H,3,A,1050.0,4.06,4.06,44834032,SHLF10902451,10,0.16,6,9,10,12,No-Filter,164376,39,6088,74450,469,2576,56832,-2170,68640,17551,21295,678,12644,221394,47865,XRF2,1,2022-08-23,11:13:05,YEON,2022-09-02 18:11:38,
