Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CSF-A (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Mn-Ka Area,Fe-Ka Area,Co-Ka Area,Ni-Ka Area,Cu-Ka Area,Zn-Ka Area,Ga-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Rh-Ka-Coh Area,Rh-Ka-Inc Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
395E,U1561,A,1,H,3,A,200.0,3.21,3.21,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,187952,2196,890,1841,3125,114913,1639,4476,767,1399,238,420,2904,5837,7217,2274,8985,515,673,33570,78825,XRF2,1,2022-08-23,11:17:01,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,250.0,3.26,3.26,44834372,SHLF10902451,30,1.25,6,12,10,12,Pd-Thick,204594,2551,927,2165,4803,131879,1852,4601,823,1497,237,546,2932,6729,8345,2631,10995,849,351,36364,83868,XRF2,1,2022-08-23,11:17:22,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,300.0,3.3099999999999996,3.3099999999999996,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,199349,2411,981,2249,4924,129726,1932,4596,852,1886,285,598,2830,6604,8291,2464,10570,647,752,34670,79741,XRF2,1,2022-08-23,11:17:43,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,350.0,3.36,3.36,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,196826,2475,1056,2167,5507,130571,1876,4622,661,1394,239,480,2737,6616,8444,2771,10665,795,762,35289,79212,XRF2,1,2022-08-23,11:18:04,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,400.0,3.4099999999999997,3.4099999999999997,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190078,2309,938,2010,4959,127171,1763,4607,828,1419,229,517,2669,6566,8045,2554,9858,681,445,34163,75669,XRF2,1,2022-08-23,11:18:25,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,450.0,3.46,3.46,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,186540,2484,1036,2189,5330,125651,1636,4434,736,1816,252,610,2524,6608,7902,2731,9736,600,683,33200,73811,XRF2,1,2022-08-23,11:18:46,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,500.0,3.51,3.51,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,184588,2163,972,2000,5260,125129,1676,4423,784,1412,237,547,2586,6471,7935,2755,10184,644,346,32992,74240,XRF2,1,2022-08-23,11:19:06,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,550.0,3.5599999999999996,3.5599999999999996,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190058,2493,983,2203,4864,129470,1813,4363,774,1386,194,530,2444,6651,8412,2703,10563,571,149,34074,75823,XRF2,1,2022-08-23,11:19:29,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,600.0,3.61,3.61,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,194644,2455,1023,2172,5374,128923,1718,4588,906,1500,255,523,2686,6490,8468,2840,10912,688,596,33729,77315,XRF2,1,2022-08-23,11:19:50,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,650.0,3.6599999999999997,3.6599999999999997,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,197625,2287,1071,2088,4947,124139,1717,4596,849,1409,227,526,2949,6372,8281,2870,10252,510,321,34873,80474,XRF2,1,2022-08-23,11:20:11,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,700.0,3.71,3.71,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,195979,2338,1023,2029,4959,121627,1727,4327,783,1443,223,507,2937,6282,8344,2937,10152,720,485,34539,80150,XRF2,1,2022-08-23,11:20:31,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,750.0,3.76,3.76,44834372,SHLF10902451,30,1.25,6,12,10,12,Pd-Thick,202014,2270,985,1945,4873,117828,1762,4624,851,1521,167,488,3123,6037,7866,2649,10008,722,247,35168,84659,XRF2,1,2022-08-23,11:20:54,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,800.0,3.8099999999999996,3.8099999999999996,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,189277,2208,992,1885,3481,113179,1620,4327,761,1385,187,454,2958,5583,7607,2263,9359,738,-80,32860,79368,XRF2,1,2022-08-23,11:21:15,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,850.0,3.86,3.86,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190210,2074,982,1850,3998,110697,1536,4572,732,1426,202,448,2959,5703,7629,2290,9305,723,427,32694,80992,XRF2,1,2022-08-23,11:21:36,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,900.0,3.9099999999999997,3.9099999999999997,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190125,2291,854,1941,5404,117254,1540,4574,904,1524,249,414,2873,5932,7507,2221,9229,425,346,33584,78276,XRF2,1,2022-08-23,11:21:58,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,950.0,3.96,3.96,44834372,SHLF10902451,30,1.25,6,10,10,12,Pd-Thick,169747,1964,860,1903,3461,107793,1447,4182,744,2103,183,872,2310,5080,6604,2175,8433,381,597,30003,70860,XRF2,1,2022-08-23,11:22:19,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1000.0,4.01,4.01,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,185643,2264,1041,2040,4031,122214,1669,4534,775,1371,224,525,2554,5866,7664,2518,9261,631,226,33015,75345,XRF2,1,2022-08-23,11:22:40,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1050.0,4.06,4.06,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,186874,2579,1110,2253,4507,129949,1786,4289,699,1388,174,458,2609,6570,8115,2654,10187,544,308,32982,74588,XRF2,1,2022-08-23,11:23:01,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1100.0,4.109999999999999,4.109999999999999,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,191364,2617,1074,2277,4699,134460,1826,4503,752,1500,266,482,2551,6647,8560,2968,10361,953,433,34186,76252,XRF2,1,2022-08-23,11:23:22,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1150.0,4.16,4.16,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,188456,2672,1035,2154,5317,130405,1842,4375,750,1441,237,562,2610,6266,8264,2742,9945,863,182,33216,73848,XRF2,1,2022-08-23,11:23:42,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1200.0,4.21,4.21,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,184603,2415,962,2173,4174,126823,1742,4375,698,1378,182,480,2610,6309,7898,2522,10062,668,921,33301,73237,XRF2,1,2022-08-23,11:24:03,YEON,2022-09-02 18:16:20,
