Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CSF-A (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca-Ka Area,Fe-Ka Area,Ni-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Ag-Ka Area,Ba-Ka Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
395E,U1561,A,1,H,3,A,200.0,3.21,3.21,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,91108,468,11105,3533,77,469,820,1134,319,1662,153,119,433597,4659,XRF2,1,2022-08-23,11:27:03,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,250.0,3.26,3.26,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,94552,488,12857,4019,109,395,882,1189,424,1853,169,110,434702,5538,XRF2,1,2022-08-23,11:27:27,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,300.0,3.3099999999999996,3.3099999999999996,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,93146,531,12632,3720,84,405,985,1218,373,1983,172,106,433788,6011,XRF2,1,2022-08-23,11:27:53,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,350.0,3.36,3.36,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,93264,470,12753,3943,146,394,920,1179,391,1893,195,135,435774,5460,XRF2,1,2022-08-23,11:28:17,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,400.0,3.4099999999999997,3.4099999999999997,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,91933,591,12309,3822,68,345,935,1197,385,1871,171,120,434930,4991,XRF2,1,2022-08-23,11:28:43,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,450.0,3.46,3.46,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,91108,436,12467,3801,85,332,944,1165,397,1763,75,87,435495,5059,XRF2,1,2022-08-23,11:29:08,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,500.0,3.51,3.51,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,90912,525,12005,3712,86,338,889,1281,430,1849,119,92,436010,5358,XRF2,1,2022-08-23,11:29:32,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,550.0,3.5599999999999996,3.5599999999999996,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,92128,387,12817,3820,69,377,962,1217,421,1883,145,132,433471,6360,XRF2,1,2022-08-23,11:29:58,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,600.0,3.61,3.61,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,92834,558,12584,3950,82,329,982,1242,480,2003,158,114,434090,5667,XRF2,1,2022-08-23,11:30:22,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,650.0,3.6599999999999997,3.6599999999999997,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,93501,609,12150,3773,105,401,889,1182,468,1918,129,100,435130,5319,XRF2,1,2022-08-23,11:30:46,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,700.0,3.71,3.71,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,93035,699,11860,3927,96,445,914,1290,462,1866,143,153,434425,4992,XRF2,1,2022-08-23,11:31:11,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,750.0,3.76,3.76,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,93645,570,11517,3914,138,442,884,1134,402,1842,181,106,434075,4935,XRF2,1,2022-08-23,11:31:35,YEON,2022-09-02 18:19:52,
395E,U1561,A,1,H,3,A,800.0,3.8099999999999996,3.8099999999999996,44834712,SHLF10902451,50,0.75,10,14,10,12,Cu,91814,547,10857,3716,75,380,855,1137,375,1701,108,59,436023,5081,XRF2,1,2022-08-23,11:31:59,YEON,2022-09-02 18:19:52,
