Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1556-ACDE-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390,U1556,E,1,H,1,A,50.0,0.05,0.0,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,187125,5,4567,61200,510,2620,59908,-2489,35688,271641,12984,683,15800,148674,45346,XRF2,1,2022-09-22,17:22:45,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,100.0,0.1,0.05,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,193141,119,5337,69829,317,2854,65884,-4075,41173,219830,15948,557,19043,182240,48558,XRF2,1,2022-09-22,17:23:05,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,150.0,0.15,0.09999999999999999,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,192613,83,6036,77097,391,2972,68761,-4958,45757,159509,18172,500,21463,205496,50540,XRF2,1,2022-09-22,17:23:25,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,200.0,0.2,0.15000000000000002,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,193079,85,6509,79262,251,2758,61945,-4341,45202,190697,17312,546,20295,194089,48843,XRF2,1,2022-09-22,17:23:45,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,250.0,0.25,0.2,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,202559,31,6413,79055,396,2652,64938,-4452,43485,248090,16398,583,20079,180464,49796,XRF2,1,2022-09-22,17:24:05,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,300.0,0.3,0.25,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,199498,100,6069,75686,294,2736,62762,-4175,43115,241843,15999,823,20638,178826,49885,XRF2,1,2022-09-22,17:24:26,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,350.0,0.35,0.3,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,208520,99,6161,74572,285,2556,62888,-4204,42220,302031,15103,836,19281,170069,49371,XRF2,1,2022-09-22,17:24:46,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,385.0,0.385,0.335,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,206696,103,5927,72286,394,2551,60976,-3500,40289,319057,14242,852,18545,160761,48661,XRF2,1,2022-09-22,17:25:06,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,400.0,0.4,0.35000000000000003,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,210994,95,5238,68385,512,2887,67988,-4069,38878,333270,14327,1067,18072,158054,49971,XRF2,1,2022-09-22,17:25:26,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,450.0,0.45,0.4,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,211906,84,5499,70590,399,2523,62929,-3800,39903,346528,13975,839,16795,156787,49206,XRF2,1,2022-09-22,17:25:46,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,500.0,0.5,0.45,44840872,SHLF11549051,10,0.15,6,10,10,12,No-Filter,188190,42,5313,69424,306,2682,62816,-3365,41003,209685,15598,720,19268,176612,48923,XRF2,1,2022-09-22,17:26:07,YEON,2022-11-29 20:59:26,
390,U1556,E,1,H,1,A,550.0,0.55,0.5,44840872,SHLF11549051,10,0.15,6,9,10,12,No-Filter,166495,-27,4739,64052,176,3035,69345,-3800,41161,54222,17443,397,22954,207684,48643,XRF2,1,2022-09-22,17:26:27,YEON,2022-11-29 20:59:26,
