Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1559-ACD-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1559,A,1,H,1,A,50.0,0.05,0.05,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,275076,-45,721,18162,398,2767,69015,-1396,1671,945277,1425,664,2653,14075,49670,XRF2,1,2022-09-12,09:35:30,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,100.0,0.1,0.1,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,271056,-59,786,18937,667,2566,63661,-2122,2245,938114,1491,391,2806,15562,48356,XRF2,1,2022-09-12,09:35:51,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,150.0,0.15,0.15,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,271386,-33,706,18995,350,3058,78694,-3373,2650,894301,1889,478,2761,17291,52766,XRF2,1,2022-09-12,09:36:13,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,200.0,0.2,0.2,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,302636,-57,1139,23444,673,2631,64389,-3337,5069,1047676,2565,499,3527,24220,52230,XRF2,1,2022-09-12,09:36:34,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,250.0,0.25,0.25,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,292944,2,1365,26788,390,2744,63931,-3423,7555,989583,3460,556,3938,31637,50753,XRF2,1,2022-09-12,09:36:57,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,300.0,0.3,0.3,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,306806,-50,1589,30128,693,2997,60304,-3373,8598,1046711,3703,837,4479,34483,51427,XRF2,1,2022-09-12,09:37:18,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,350.0,0.35,0.35,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,303082,-79,1453,28357,555,2485,55883,-2640,6857,1052893,3018,461,3003,29862,50531,XRF2,1,2022-09-12,09:37:41,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,400.0,0.4,0.4,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,283718,-40,987,22857,534,2639,62439,-2439,4544,976113,2338,427,3361,22046,49477,XRF2,1,2022-09-12,09:38:04,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,450.0,0.45,0.45,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,296325,-63,919,21419,575,2754,65214,-3030,3881,1030475,2136,447,3143,20797,51420,XRF2,1,2022-09-12,09:38:26,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,500.0,0.5,0.5,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,300132,-52,874,21135,570,2661,66761,-3097,3709,1045636,1913,439,3219,18856,51697,XRF2,1,2022-09-12,09:38:48,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,550.0,0.55,0.55,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,297956,-76,939,20740,503,2549,66630,-3074,3354,1037779,2340,992,2784,19245,52147,XRF2,1,2022-09-12,09:39:11,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,600.0,0.6,0.6,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,283492,-59,866,20679,408,2651,64369,-2925,3215,981001,1813,411,2749,17562,51219,XRF2,1,2022-09-12,09:39:34,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,650.0,0.65,0.65,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,307605,28,1190,23086,496,2443,57606,-2598,4051,1093813,2248,937,3124,20468,50762,XRF2,1,2022-09-12,09:39:56,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,700.0,0.7,0.7,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,309852,-60,1113,24144,638,2391,56562,-2407,4852,1101103,2510,510,3395,22538,49568,XRF2,1,2022-09-12,09:40:18,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,750.0,0.75,0.75,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,308285,-37,1169,25458,543,2471,62380,-3115,5890,1069569,2562,564,4187,27184,52124,XRF2,1,2022-09-12,09:40:42,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,800.0,0.8,0.8,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,315451,-21,1139,22882,747,2918,66035,-3057,4408,1109299,2310,606,2527,21871,51882,XRF2,1,2022-09-12,09:41:05,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,850.0,0.85,0.85,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,292887,-36,746,19775,501,3239,75740,-3582,3267,989582,1763,750,2823,18826,51671,XRF2,1,2022-09-12,09:41:28,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,900.0,0.9,0.9,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,266658,-67,621,18341,285,3113,81872,-2977,2774,872054,1572,369,2609,16512,53283,XRF2,1,2022-09-12,09:41:50,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,950.0,0.95,0.95,44837372,SHLF10886711,10,0.15,6,11,10,12,No-Filter,253408,-37,728,18213,340,2904,77348,-1791,1927,825471,1211,626,2416,16103,51081,XRF2,1,2022-09-12,09:42:11,YEON,2022-09-26 21:00:25,
