Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1559-ACD-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca-Ka Area,Fe-Ka Area,Ni-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Ag-Ka Area,Ba-Ka Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1559,A,1,H,1,A,50.0,0.05,0.05,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,85755,6102,944,3418,63,280,76,9135,126,417,43,22,436007,1635,XRF2,1,2022-09-12,09:57:35,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,100.0,0.1,0.1,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,87024,7349,1101,3584,46,289,76,9391,119,339,34,43,435149,2373,XRF2,1,2022-09-12,09:57:58,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,150.0,0.15,0.15,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,86776,6591,1149,3554,16,271,95,9108,72,378,32,123,433886,3197,XRF2,1,2022-09-12,09:58:22,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,200.0,0.2,0.2,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,87437,7444,1435,3616,71,228,131,9415,157,472,18,19,434775,4902,XRF2,1,2022-09-12,09:58:45,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,250.0,0.25,0.25,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,87713,7283,2062,3687,47,250,141,8955,132,534,61,51,434437,5887,XRF2,1,2022-09-12,09:59:09,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,300.0,0.3,0.3,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,87795,7433,2073,3562,66,272,190,8859,202,390,13,54,434800,5578,XRF2,1,2022-09-12,09:59:32,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,350.0,0.35,0.35,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,87112,7689,1773,3556,91,224,145,8573,96,395,30,37,435314,5247,XRF2,1,2022-09-12,09:59:56,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,400.0,0.4,0.4,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,86321,7499,1375,3532,48,237,125,8457,145,367,56,84,436723,4117,XRF2,1,2022-09-12,10:00:19,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,450.0,0.45,0.45,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,86562,7486,1359,3484,33,248,156,8813,133,390,48,72,434696,3764,XRF2,1,2022-09-12,10:00:43,YEON,2022-09-26 21:11:48,
390C,U1559,A,1,H,1,A,500.0,0.5,0.5,44838422,SHLF10886711,50,0.75,10,14,10,12,Cu,86881,7463,1251,3606,55,285,120,9024,116,450,28,92,433948,3711,XRF2,1,2022-09-12,10:01:06,YEON,2022-09-26 21:11:48,
