Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-393-U1560-AC-20220803-ac (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
393,U1560,C,1,H,1,A,100.0,0.1,0.04800000000000001,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,307972,-78,1145,9021,407,2669,61370,-4756,4950,1129152,1417,683,2775,18489,46845,XRF1,1,2022-11-21,10:50:17,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,120.0,0.12,0.068,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,308924,-50,1158,11081,609,2369,55388,-4391,6444,1139457,1849,272,3090,20713,45296,XRF1,1,2022-11-21,10:50:34,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,140.0,0.14,0.08800000000000002,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,309801,-78,1736,14221,603,2619,54774,-4407,7517,1134332,1909,-25,3855,23984,44818,XRF1,1,2022-11-21,10:50:51,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,160.0,0.16,0.10800000000000001,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,304630,-69,1791,17604,258,2383,53212,-4988,9561,1096560,2480,156,4519,30274,44668,XRF1,1,2022-11-21,10:51:11,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,180.0,0.18,0.128,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,307834,-38,2170,20005,360,2710,52969,-5045,10661,1100313,3090,177,4969,32753,45637,XRF1,1,2022-11-21,10:51:29,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,200.0,0.2,0.14800000000000002,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,307095,-75,2365,21458,448,2484,54057,-4496,12023,1089846,3221,225,5317,35910,44578,XRF1,1,2022-11-21,10:51:47,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,220.0,0.22,0.168,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,305749,-67,2161,20444,524,2369,52592,-4502,11035,1094617,3116,187,4354,32712,44960,XRF1,1,2022-11-21,10:52:06,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,240.0,0.24,0.188,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,310075,-68,2173,19660,271,2429,51940,-4737,10270,1118837,2732,287,4204,30745,44736,XRF1,1,2022-11-21,10:52:25,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,260.0,0.26,0.20800000000000002,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,307411,-42,2187,19658,739,2610,49804,-4440,10707,1109250,2880,657,4378,31699,44854,XRF1,1,2022-11-21,10:52:42,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,280.0,0.28,0.22800000000000004,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,325074,-68,2187,17068,611,2348,51047,-5038,9144,1195947,2476,317,4148,27450,46387,XRF1,1,2022-11-21,10:53:01,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,300.0,0.3,0.248,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,316535,-51,1591,12947,538,2499,52873,-4377,6719,1173991,2225,75,3393,22030,45473,XRF1,1,2022-11-21,10:53:19,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,320.0,0.32,0.268,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,316611,-84,1577,13197,472,2409,52293,-4413,6812,1172157,2028,64,3220,22501,46345,XRF1,1,2022-11-21,10:53:38,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,340.0,0.34,0.28800000000000003,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,318771,-76,1455,12128,348,2158,52298,-4280,6788,1185585,1745,159,3547,21521,45961,XRF1,1,2022-11-21,10:53:58,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,360.0,0.36,0.308,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,318020,-69,1405,12304,327,2356,52290,-4737,6284,1181715,2121,286,3474,21194,45997,XRF1,1,2022-11-21,10:54:17,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,380.0,0.38,0.328,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,313719,-64,1651,14413,452,2397,55175,-4268,7896,1149576,2142,173,3600,24747,44571,XRF1,1,2022-11-21,10:54:34,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,400.0,0.4,0.34800000000000003,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,325326,-78,1479,12847,433,2375,54663,-4693,6548,1207066,1919,206,3340,22277,47151,XRF1,1,2022-11-21,10:54:54,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,420.0,0.42,0.368,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,333980,-41,1591,12857,467,2248,53239,-4712,6725,1246682,1797,328,3568,21984,47129,XRF1,1,2022-11-21,10:55:14,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,440.0,0.44,0.388,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,337768,-75,1567,12456,626,2332,52452,-4596,5922,1266638,1723,345,3081,21251,47284,XRF1,1,2022-11-21,10:55:33,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,460.0,0.46,0.40800000000000003,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,331037,-82,1501,13422,289,2528,52700,-4556,7005,1235048,1946,202,3444,22650,46374,XRF1,1,2022-11-21,10:55:53,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,480.0,0.48,0.428,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,323675,-83,1543,12747,220,2163,52079,-4371,7078,1207017,1883,321,3407,22531,45831,XRF1,1,2022-11-21,10:56:10,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,500.0,0.5,0.448,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,326059,-49,1715,14967,407,2331,50831,-4860,7152,1211130,2189,377,3327,23871,46190,XRF1,1,2022-11-21,10:56:29,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,520.0,0.52,0.468,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,322551,-36,1756,15793,466,2281,52092,-4464,8679,1186632,2251,352,3697,27292,45791,XRF1,1,2022-11-21,10:56:47,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,540.0,0.54,0.48800000000000004,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,323194,-46,1827,16083,429,2322,52730,-4638,9130,1187788,2392,186,3344,27175,45907,XRF1,1,2022-11-21,10:57:07,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,560.0,0.56,0.508,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,320161,-45,1843,17267,382,2337,53166,-4770,10065,1163484,2487,112,3944,30427,46533,XRF1,1,2022-11-21,10:57:27,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,580.0,0.58,0.5279999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,311798,-34,2040,16679,593,2305,55085,-4667,9508,1124952,2878,422,5006,31307,45381,XRF1,1,2022-11-21,10:57:45,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,600.0,0.6,0.5479999999999999,44847562,SHLF11684831,10,0.16,6,9,10,12,No-Filter,308627,-75,1732,15612,486,2279,55325,-4363,9047,1116054,2648,52,4242,29659,45370,XRF1,1,2022-11-21,10:58:06,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,620.0,0.62,0.568,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,321116,-19,1967,16758,407,2357,54267,-5075,9236,1171005,2597,191,4096,28385,46967,XRF1,1,2022-11-21,10:58:24,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,640.0,0.64,0.588,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,317308,-29,1444,12046,595,2444,59142,-5175,7102,1161385,1768,198,3257,24137,47207,XRF1,1,2022-11-21,10:58:42,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,660.0,0.66,0.608,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,326415,-84,1398,11613,533,2507,56709,-4892,6224,1207473,1960,234,3416,21990,48174,XRF1,1,2022-11-21,10:58:59,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,680.0,0.68,0.628,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,326908,-79,1337,11883,425,2195,55373,-4775,6753,1216628,1912,254,3443,21642,47103,XRF1,1,2022-11-21,10:59:16,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,700.0,0.7,0.6479999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,321645,-57,1622,14121,470,2185,52790,-4818,7406,1190161,2086,585,3893,23769,45725,XRF1,1,2022-11-21,10:59:33,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,720.0,0.72,0.6679999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,318539,-48,1504,12681,303,2240,54642,-4836,6781,1175459,1639,499,3604,22796,46510,XRF1,1,2022-11-21,10:59:51,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,740.0,0.74,0.688,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,329109,-49,1470,11306,390,2588,53634,-5097,6356,1230743,1447,76,3574,20565,47162,XRF1,1,2022-11-21,11:00:08,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,760.0,0.76,0.708,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,336680,-80,1417,12385,497,2335,55062,-5050,6272,1254305,1589,123,3779,21230,48229,XRF1,1,2022-11-21,11:00:27,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,780.0,0.78,0.728,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,338916,-60,1697,12472,590,2381,54813,-5211,6397,1262820,1780,-52,3977,22342,48626,XRF1,1,2022-11-21,11:00:45,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,800.0,0.8,0.748,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,333468,-40,1430,10368,486,2271,54735,-4507,5095,1251542,1581,51,3394,19263,46950,XRF1,1,2022-11-21,11:01:06,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,820.0,0.82,0.7679999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,330239,-75,1559,12504,372,2224,54957,-4596,6892,1224318,1865,262,3786,23189,47701,XRF1,1,2022-11-21,11:01:24,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,840.0,0.84,0.7879999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,327303,-60,1486,11563,436,1963,51170,-4688,6339,1226608,1551,-204,3331,21135,46822,XRF1,1,2022-11-21,11:01:43,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,860.0,0.86,0.8079999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,341878,-59,1547,12029,561,2100,52239,-4996,5613,1285424,1603,-163,3344,20747,48756,XRF1,1,2022-11-21,11:02:00,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,880.0,0.88,0.828,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,335069,-47,1400,11545,510,2171,55165,-4902,6251,1249234,1575,-44,3475,22141,47960,XRF1,1,2022-11-21,11:02:18,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,900.0,0.9,0.848,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,328837,-89,1403,11385,438,2188,56051,-4747,6839,1219271,1632,24,3687,22428,48492,XRF1,1,2022-11-21,11:02:36,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,920.0,0.92,0.868,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,339582,-39,1380,11990,272,2093,55274,-4890,6239,1271341,1578,133,3103,21368,48527,XRF1,1,2022-11-21,11:02:55,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,940.0,0.94,0.8879999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,336491,-79,1560,11987,582,2121,52412,-4563,5733,1266021,1738,245,3485,21076,47593,XRF1,1,2022-11-21,11:03:14,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,960.0,0.96,0.9079999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,342344,-79,1279,11367,348,2093,53750,-4976,5788,1290460,1546,195,2937,19326,48351,XRF1,1,2022-11-21,11:03:31,YEON,2022-12-08 20:13:39,
393,U1560,C,1,H,1,A,980.0,0.98,0.9279999999999999,44847562,SHLF11684831,10,0.16,6,10,10,12,No-Filter,338207,-70,1463,12341,263,2116,52677,-4678,6240,1271089,1501,139,2903,21909,47185,XRF1,1,2022-11-21,11:03:50,YEON,2022-12-08 20:13:39,
