Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-393-U1583-ABCDE-20220803-shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
393,U1583,E,1,H,1,A,50.0,0.05,0.05,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,326160,-50,1462,27953,629,2958,63701,-4086,7332,1140750,2637,582,4738,26979,52193,XRF2,1,2022-11-19,15:45:27,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,100.0,0.1,0.1,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,325580,25,1750,30100,564,2865,62808,-4112,8346,1136283,2819,565,4397,27594,52520,XRF2,1,2022-11-19,15:45:51,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,150.0,0.15,0.15,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,329058,10,2374,37573,452,2728,63912,-4942,13372,1108684,4134,996,6269,41509,53075,XRF2,1,2022-11-19,15:46:14,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,200.0,0.2,0.2,44855362,SHLF11653161,10,0.15,6,14,10,12,No-Filter,333078,-39,2233,35807,603,2623,58796,-4483,11615,1147307,3813,808,5518,36880,53356,XRF2,1,2022-11-19,15:46:38,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,250.0,0.25,0.25,44855362,SHLF11653161,10,0.15,6,14,10,12,No-Filter,345525,-6,2300,37477,689,2749,62857,-5122,12361,1192066,3783,894,6192,38650,53722,XRF2,1,2022-11-19,15:47:03,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,300.0,0.3,0.3,44855362,SHLF11653161,10,0.15,6,14,10,12,No-Filter,345130,-4,2547,39257,704,2688,57904,-5055,12904,1195136,4024,949,6532,39042,53481,XRF2,1,2022-11-19,15:47:27,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,350.0,0.35,0.35,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,326896,-37,2978,42900,765,2474,55906,-4577,14976,1103767,4444,453,7426,46334,51658,XRF2,1,2022-11-19,15:47:51,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,400.0,0.4,0.4,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,305097,7,3628,47939,786,2498,54533,-3676,19089,980085,5646,1024,9570,59406,50609,XRF2,1,2022-11-19,15:48:15,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,450.0,0.45,0.45,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,302044,23,3192,45745,745,2495,58205,-4894,18666,961708,5486,867,9792,59597,50489,XRF2,1,2022-11-19,15:48:38,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,500.0,0.5,0.5,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,304919,-35,2716,38818,570,2400,54476,-3313,14063,1024242,4272,732,7284,43646,48474,XRF2,1,2022-11-19,15:49:02,YEON,2022-12-15 20:32:10,
393,U1583,E,1,H,1,A,550.0,0.55,0.55,44855362,SHLF11653161,10,0.15,6,13,10,12,No-Filter,312732,-19,2162,35222,549,2396,57888,-3856,11670,1057804,3746,746,6903,39006,51423,XRF2,1,2022-11-19,15:49:26,YEON,2022-12-15 20:32:10,
