Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-393-U1583-ABCDE-20220803-shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca-Ka Area,Fe-Ka Area,Ni-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Ag-Ka Area,Ba-Ka Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
393,U1583,E,1,H,1,A,50.0,0.05,0.05,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,87748,7705,1542,3653,66,247,127,9137,90,398,53,69,436038,1804,XRF2,1,2022-11-19,16:09:18,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,100.0,0.1,0.1,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,87542,7817,1655,3595,70,244,123,8510,69,505,63,26,437429,1866,XRF2,1,2022-11-19,16:09:43,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,150.0,0.15,0.15,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,88761,7263,2425,3598,43,262,179,8725,156,509,55,91,435393,3404,XRF2,1,2022-11-19,16:10:07,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,200.0,0.2,0.2,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,88332,7780,2301,3656,95,214,145,8599,187,491,48,94,435924,2957,XRF2,1,2022-11-19,16:10:32,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,250.0,0.25,0.25,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,88723,7809,2330,3609,59,259,203,8591,110,529,20,53,434822,3031,XRF2,1,2022-11-19,16:10:56,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,300.0,0.3,0.3,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,88707,7956,2188,3728,89,231,194,8779,128,438,47,107,436362,2592,XRF2,1,2022-11-19,16:11:21,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,350.0,0.35,0.35,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,88951,7398,2703,3679,65,272,203,8378,173,631,68,46,439068,2863,XRF2,1,2022-11-19,16:11:46,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,400.0,0.4,0.4,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,89336,6480,3559,3690,49,223,204,7626,156,715,29,77,439885,3553,XRF2,1,2022-11-19,16:12:10,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,450.0,0.45,0.45,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,89356,6505,3542,3766,55,241,225,7954,219,649,70,26,437814,3590,XRF2,1,2022-11-19,16:12:35,YEON,2022-12-15 20:53:12,
393,U1583,E,1,H,1,A,500.0,0.5,0.5,44856622,SHLF11653161,50,0.75,10,14,10,12,Cu,88637,7107,2723,3655,52,209,186,8074,171,583,88,31,437132,2860,XRF2,1,2022-11-19,16:13:00,YEON,2022-12-15 20:53:12,
